time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint
0.000000000,0.000000000,-0.027275085,0.030769348,3.193897247,0.000000000,0.004386902,0.039560318,-2.465936279,-0.044241000,-0.038338661,0.004396439,-1.419790649,0.457652986,0.349241257,0.276922226,3.443237305,-0.359522998,-0.333038735,-0.338363288,-1.587154203,0.000000000,-0.003041711,0.019731458,0.303023569,0.000000000,-0.015068054,0.004396439,1.872295380,0.000000000,0.001716614,-0.021978378,-0.523086548,0.056293000,0.047493935,0.039560318,3.512081909,0.316834986,0.219158173,0.259340286,3.589752197,-0.307476014,-0.280795948,-0.342737395,-1.190144193,0.000000000,-0.000431447,-0.049374022,0.044042452
0.002000000,0.000112000,-0.027275085,-0.030769348,2.973619843,-0.000094000,0.004386902,0.021978378,-3.063729858,-0.044202998,-0.038338661,0.004396439,-1.419790649,0.457679987,0.349622726,0.250549316,4.029296875,-0.359508008,-0.333420665,-0.360358571,-1.487844053,0.000000000,-0.002171991,0.069943508,0.259934623,-0.000085000,-0.015068054,-0.004396439,1.652017975,0.000081000,0.001716614,0.048351288,-0.672528076,0.056292001,0.047493935,0.021978378,2.465936279,0.316899002,0.219539642,0.215385437,3.589752197,-0.307521999,-0.281558633,-0.355920525,-1.388485289,0.000002000,-0.000431501,-0.039519569,-0.044314995
0.004000000,0.000222000,-0.027275085,0.004396439,2.973619843,-0.000182000,0.004386902,-0.004396439,-2.465936279,-0.044165999,-0.038720131,-0.092308044,-0.821969604,0.457706004,0.350385666,0.312088013,3.882781982,-0.359494001,-0.334183353,-0.351593505,-1.289491267,0.000000000,-0.002172463,0.110080395,0.259985958,-0.000169000,-0.015068054,-0.004396439,1.652017975,0.000156000,0.001716614,-0.004396439,-0.672528076,0.056290999,0.047493935,0.101099014,3.213198853,0.316962987,0.219921112,0.224176407,3.589752197,-0.307576001,-0.282321319,-0.360318743,-1.586837988,0.000006000,-0.000431556,-0.009917324,-0.044326574
0.006000000,0.000330000,-0.027275085,0.030769348,3.193897247,-0.000267000,0.004386902,0.021978378,-2.615377808,-0.044128999,-0.038720131,-0.065933228,-0.224176025,0.457731009,0.350767136,0.338460922,3.589752197,-0.359479994,-0.334946041,-0.369158114,-1.289491341,0.000000000,-0.002172933,0.090032529,0.259923946,-0.000251000,-0.015068054,-0.004396439,1.652017975,0.000226000,0.001716614,-0.083517075,-0.523086548,0.056288999,0.047493935,-0.021978378,3.512081909,0.317025989,0.220302582,0.197801590,3.736267090,-0.307637990,-0.283084004,-0.347132490,-1.884372844,0.000013000,-0.000431612,-0.039536799,-0.000206902
0.008000000,0.000435000,-0.027275085,0.021978378,3.193897247,-0.000346000,0.004386902,0.048351288,-2.914288330,-0.044093002,-0.038720131,-0.039560318,-0.971438599,0.457753986,0.351530075,0.417581558,4.175811768,-0.359465986,-0.335709116,-0.369159264,-1.190297058,0.000000000,-0.001302732,0.150354935,0.390493276,-0.000331000,-0.015068054,-0.004396439,1.652017975,0.000291000,0.001716614,0.057142258,-1.270321655,0.056286000,0.047875404,0.074726105,2.764846802,0.317086995,0.220684052,0.180219650,3.882781982,-0.307707012,-0.283846690,-0.373499709,-1.983543383,0.000021000,-0.000431668,-0.019798230,-0.044349793
0.010000000,0.000537000,-0.027275085,0.021978378,3.193897247,-0.000421000,0.004386902,-0.057142258,-3.063729858,-0.044057999,-0.039101601,-0.030769348,-0.672528076,0.457776010,0.352674484,0.461538315,3.443237305,-0.359452009,-0.336471804,-0.382330985,-1.388672105,0.000000000,-0.001302995,0.120278092,0.390342122,-0.000409000,-0.015068054,0.021978378,1.872295380,0.000350000,0.001716614,-0.083517075,-0.971438599,0.056281999,0.047875404,0.039560318,3.661550903,0.317148000,0.221065521,0.180219650,4.029296875,-0.307783008,-0.284418653,-0.364699823,-2.281122577,0.000032000,-0.000860211,-0.059355253,-0.000502109
0.012000000,0.000636000,-0.027275085,-0.004396439,3.193897247,-0.000490000,0.004386902,-0.048351288,-2.316494751,-0.044024002,-0.039101601,-0.030769348,-1.718673706,0.457796991,0.353437424,0.452747345,3.736267090,-0.359438002,-0.337234492,-0.377933542,-1.487773812,0.000000000,-0.001303256,0.110270236,0.259966575,-0.000484000,-0.015068054,0.004396439,1.872295380,0.000404000,0.001716614,0.004396439,-1.419790649,0.056278002,0.047875404,0.057142258,3.512081909,0.317207009,0.221446991,0.180219650,3.882781982,-0.307864994,-0.285181338,-0.338340069,-2.082770874,0.000044000,-0.000860370,-0.039605075,0.087779263
0.014000000,0.000731000,-0.027275085,0.021978378,2.973619843,-0.000553000,0.004386902,0.039560318,-2.914288330,-0.043990999,-0.039101601,-0.109889984,-0.672528076,0.457816005,0.354200363,0.356044769,3.443237305,-0.359425008,-0.337997180,-0.369144582,-1.586989991,0.000000000,-0.001303516,0.110297679,0.303282977,-0.000554000,-0.015068054,0.004396439,1.652017975,0.000453000,0.001716614,-0.004396439,-0.971438599,0.056272998,0.047875404,0.004396439,2.764846802,0.317265004,0.221828461,0.197801590,4.029296875,-0.307953000,-0.285944023,-0.342736257,-2.082770871,0.000058000,-0.000860530,-0.029734618,0.087758499
0.016000000,0.000822000,-0.027275085,-0.004396439,3.193897247,-0.000612000,0.004386902,0.030769348,-3.063729858,-0.043958999,-0.039101601,-0.065933228,-1.120880127,0.457834005,0.354963303,0.303297043,3.150177002,-0.359411001,-0.338569314,-0.369122761,-1.487715249,0.000000000,-0.000867991,0.070198096,0.173239192,-0.000621000,-0.015068054,0.013187408,1.872295380,0.000496000,0.001716614,-0.039560318,0.074734497,0.056267001,0.047875404,-0.039560318,2.167025757,0.317321986,0.222209930,0.189010620,4.175811768,-0.308046997,-0.286706707,-0.338343462,-2.082770869,0.000073000,-0.000860691,-0.019855116,0.087737736
0.018000000,0.000909000,-0.027275085,-0.013187408,3.193897247,-0.000664000,0.004386902,-0.021978378,-2.316494751,-0.043926999,-0.039101601,-0.039560318,-1.569232178,0.457850009,0.355344772,0.294506073,3.589752197,-0.359398007,-0.339332002,-0.347145779,-1.785232883,0.000000000,-0.000868146,0.040086914,0.129744715,-0.000682000,-0.015068054,-0.004396439,1.652017975,0.000535000,0.001716614,-0.013187408,-1.270321655,0.056260001,0.047875404,0.021978378,2.914288330,0.317378014,0.222591400,0.162637711,4.029296875,-0.308147013,-0.287278621,-0.320778260,-2.082782517,0.000090000,-0.001289686,0.019643453,0.087492312
