time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint
0.000000000,-0.025628000,-0.028800964,0.013187408,0.110138702,0.091539003,0.075722694,0.057142258,1.569232178,-0.640655994,-0.546082497,-0.584615707,-14.720883179,0.903732002,0.744831085,1.015384674,3.882781982,-0.035204999,-0.030218757,0.011229666,-0.372987213,-0.166688994,-0.156573643,0.055987376,-0.532336763,-0.038580000,-0.021934509,-0.065933228,-1.211463165,0.191386998,0.158122063,0.118680954,5.903283691,-0.567577004,-0.474365234,-0.531867981,-13.824179077,0.582266986,0.473602295,0.523077011,2.124542236,-0.175503999,-0.146939670,-0.263770785,-2.082255541,0.004512000,0.003693743,-0.141853110,0.461726616
0.002000000,-0.025711000,-0.028800964,0.013187408,0.770939636,0.091527000,0.076104164,0.048351288,0.672528076,-0.640757978,-0.547226906,-0.610988617,-13.674737549,0.903658986,0.746738434,0.830768585,3.736267090,-0.035243999,-0.030218757,0.013761736,-0.368496149,-0.166760996,-0.156573643,-0.017828175,-0.626643960,-0.038532998,-0.021934509,0.004396439,-1.211463165,0.191458002,0.158885002,0.189010620,6.501104736,-0.567564011,-0.474365234,-0.531867981,-13.824179077,0.582266986,0.475128174,0.496704102,2.564117432,-0.175519004,-0.147512843,-0.268128851,-2.280846033,0.004487000,0.002460856,-0.151447801,0.369195782
0.004000000,-0.025792999,-0.028800964,0.039560318,0.770939636,0.091514997,0.076104164,0.109889984,0.971438599,-0.640859008,-0.548371315,-0.619779587,-14.870324707,0.903586984,0.747882843,0.619779587,3.296691895,-0.035282001,-0.030218757,-0.009069347,-0.364005084,-0.166828007,-0.156573643,0.008809869,-0.720951157,-0.038490999,-0.021934509,0.021978378,-1.431740570,0.191526994,0.158885002,0.180219650,6.799987793,-0.567551970,-0.475891113,-0.479120255,-14.571441650,0.582265019,0.476272583,0.470329285,2.564117432,-0.175533995,-0.147894175,-0.272517302,-2.578478934,0.004461000,0.002461105,-0.141983180,0.231404312
0.006000000,-0.025873000,-0.028800964,0.030769348,1.652017975,0.091503002,0.076485634,0.127471924,1.868142700,-0.640959024,-0.549515724,-0.540658951,-13.375827026,0.903517008,0.749408722,0.681318283,4.761901855,-0.035321001,-0.030394918,-0.015917132,-0.257749984,-0.166890994,-0.156983290,-0.046975573,-0.858943548,-0.038453002,-0.021934509,-0.013187408,-1.652017975,0.191595003,0.159266472,0.118680954,6.202194214,-0.567541003,-0.477035522,-0.567033768,-14.571441650,0.582261980,0.477035522,0.443956375,2.417572021,-0.175550997,-0.148656840,-0.272507178,-2.479267751,0.004435000,0.002461605,-0.123051877,0.277259024
0.008000000,-0.025950000,-0.028800964,0.004396439,0.770939636,0.091491997,0.076485634,0.057142258,0.821969604,-0.641056001,-0.551041603,-0.637363434,-13.375827026,0.903447986,0.750934601,0.980218887,4.175811768,-0.035360001,-0.030394918,-0.012494115,-0.461098762,-0.166950002,-0.156983290,-0.019081968,-0.771483549,-0.038419001,-0.021934509,-0.039560318,-1.431740570,0.191661999,0.159647942,0.153846741,6.351635742,-0.567532003,-0.478179932,-0.523077011,-13.824179077,0.582257986,0.478179932,0.426374435,2.710632324,-0.175567999,-0.149229150,-0.298849775,-2.479357737,0.004409000,0.002050614,-0.104125081,0.185055822
0.010000000,-0.026025999,-0.028419495,0.030769348,0.110138702,0.091480002,0.076867104,0.109889984,1.120880127,-0.641152024,-0.552186012,-0.584615707,-13.226385498,0.903380990,0.752841949,0.909889221,3.736267090,-0.035399999,-0.030394918,-0.017187328,-0.363926533,-0.167005002,-0.156983290,-0.010063319,-0.720916118,-0.038389001,-0.021934509,0.004396439,-1.872295380,0.191726997,0.160029411,0.180219650,5.454931641,-0.567524016,-0.479324341,-0.443956375,-14.571441650,0.582252979,0.478942871,0.505495071,2.857147217,-0.175586000,-0.149801419,-0.303208460,-2.479379971,0.004383000,0.001639484,-0.037787030,0.184781490
0.012000000,-0.026099000,-0.028800964,0.004396439,0.330416107,0.091468997,0.076867104,0.083517075,1.120880127,-0.641246021,-0.553330421,-0.663736343,-12.927474976,0.903316975,0.754367828,0.690109253,3.589752197,-0.035439000,-0.030394918,-0.017187328,-0.359424373,-0.167054996,-0.156983290,-0.010063319,-0.815213549,-0.038362000,-0.021934509,-0.021978378,-1.652017975,0.191790000,0.160410881,0.232967377,5.454931641,-0.567517996,-0.480087280,-0.549449921,-13.973620605,0.582247019,0.480087280,0.531867981,2.417572021,-0.175605997,-0.150373149,-0.298804179,-2.479300958,0.004357000,0.002051223,-0.009301942,0.276876368
0.014000000,-0.026169000,-0.028419495,-0.004396439,0.550662231,0.091458000,0.076867104,0.083517075,1.120880127,-0.641339004,-0.554474831,-0.663736343,-12.329681396,0.903254986,0.755893707,0.760438919,3.003662109,-0.035479002,-0.030394918,-0.003741261,-0.456618288,-0.167100996,-0.156983290,-0.018666075,-0.865792265,-0.038339000,-0.021934509,-0.021978378,-1.431740570,0.191852003,0.160792351,0.180219650,5.305490112,-0.567511976,-0.481231689,-0.523077011,-13.525268555,0.582239985,0.481231689,0.514286041,2.124542236,-0.175625995,-0.150945418,-0.285579347,-2.280980448,0.004331000,0.001639953,0.095015245,0.276508255
0.016000000,-0.026237000,-0.028800964,-0.021978378,0.550662231,0.091447003,0.077248573,0.013187408,1.569232178,-0.641429007,-0.555619240,-0.593406677,-12.778033447,0.903195977,0.757419586,1.015384674,3.150177002,-0.035519999,-0.030394918,-0.013128704,-0.359424373,-0.167143002,-0.156983290,-0.000626820,-0.815213549,-0.038318999,-0.021934509,0.013187408,-1.211463165,0.191911995,0.161173820,0.162637711,5.753842163,-0.567507982,-0.482376099,-0.523077011,-13.226385498,0.582233012,0.482376099,0.505495071,2.124542236,-0.175646007,-0.151517148,-0.263595326,-1.983443748,0.004304000,0.002051835,0.104542374,0.230613742
0.018000000,-0.026300000,-0.028800964,0.004396439,0.550662231,0.091435999,0.077248573,0.065933228,0.523086548,-0.641516984,-0.557145119,-0.646154404,-12.927474976,0.903141022,0.759326935,0.786813736,3.296691895,-0.035560001,-0.030571035,-0.021243676,-0.456524288,-0.167181000,-0.157392998,-0.019504231,-0.865752064,-0.038300999,-0.021934509,0.021978378,-1.431740570,0.191971004,0.161555290,0.145055771,5.454931641,-0.567503989,-0.483520508,-0.496704102,-14.272531128,0.582225025,0.483139038,0.452747345,2.564117432,-0.175668001,-0.152088838,-0.263550317,-2.082626556,0.004277000,0.002463859,0.161538562,0.184911153
0.020000000,-0.026360000,-0.028800964,-0.013187408,0.330416107,0.091425002,0.077630043,0.057142258,0.672528076,-0.641604006,-0.558289528,-0.663736343,-11.283508301,0.903088987,0.760471344,0.619779587,3.150177002,-0.035601001,-0.030571035,-0.020607260,-0.257653647,-0.167214006,-0.157392998,-0.037961131,-0.858884233,-0.038286999,-0.021934509,0.021978378,-1.872295380,0.192027003,0.161555290,0.189010620,5.604400635,-0.567501009,-0.484283447,-0.567033768,-14.123089600,0.582216024,0.484283447,0.461538315,2.124542236,-0.175689995,-0.152470648,-0.237163875,-2.181905224,0.004250000,0.002465140,0.199504260,0.047213376
0.022000000,-0.026416000,-0.028800964,0.004396439,0.110138702,0.091415003,0.077630043,0.083517075,1.419790649,-0.641687989,-0.559433937,-0.610988617,-11.134066772,0.903041005,0.761615753,0.681318283,4.029296875,-0.035642002,-0.030571035,-0.028085067,-0.262166901,-0.167242005,-0.157392998,-0.075295801,-0.764596578,-0.038275000,-0.021934509,0.004396439,-0.770939636,0.192081004,0.161936760,0.127471924,5.305490112,-0.567498982,-0.485427856,-0.505495071,-12.927474976,0.582206011,0.485046387,0.531867981,2.271057129,-0.175713003,-0.152851239,-0.223933920,-1.983518305,0.004223000,0.003289022,0.209068580,0.047472225
0.024000000,-0.026467999,-0.028800964,-0.030769348,0.991217041,0.091404997,0.077630043,0.039560318,0.523086548,-0.641770005,-0.560578346,-0.487911224,-11.881329346,0.902997017,0.763523102,0.936264038,3.736267090,-0.035684001,-0.030747110,-0.039609611,-0.160393857,-0.167265996,-0.157802767,-0.122085188,-0.808248075,-0.038265999,-0.021934509,-0.004396439,-1.872295380,0.192132995,0.162318230,0.083517075,6.202194214,-0.567498028,-0.486572266,-0.496704102,-12.628564453,0.582195997,0.486190796,0.514286041,1.831512451,-0.175735995,-0.153422807,-0.210688976,-1.785260573,0.004196000,0.003701429,0.256590297,-0.044312485
0.026000000,-0.026515000,-0.028800964,0.013187408,0.770939636,0.091394998,0.077630043,0.021978378,1.270321655,-0.641849995,-0.561722755,-0.584615707,-10.835156250,0.902957022,0.765430450,0.883516312,3.589752197,-0.035725001,-0.030747110,-0.039609611,-0.164918203,-0.167285994,-0.157802767,-0.122085188,-0.713970206,-0.038259000,-0.021934509,-0.013187408,-1.652017975,0.192183003,0.162699699,0.118680954,5.604400635,-0.567497015,-0.487335205,-0.505495071,-14.421972656,0.582184970,0.487335205,0.523077011,2.271057129,-0.175760001,-0.153803155,-0.214981351,-1.587042875,0.004169000,0.004525698,0.304159251,-0.135955175
