time,cmd_leg_l1_joint,pos_leg_l1_joint,vel_leg_l1_joint,torque_leg_l1_joint,cmd_leg_l2_joint,pos_leg_l2_joint,vel_leg_l2_joint,torque_leg_l2_joint,cmd_leg_l3_joint,pos_leg_l3_joint,vel_leg_l3_joint,torque_leg_l3_joint,cmd_leg_l4_joint,pos_leg_l4_joint,vel_leg_l4_joint,torque_leg_l4_joint,cmd_leg_l5_joint,pos_leg_l5_joint,vel_leg_l5_joint,torque_leg_l5_joint,cmd_leg_l6_joint,pos_leg_l6_joint,vel_leg_l6_joint,torque_leg_l6_joint,cmd_leg_r1_joint,pos_leg_r1_joint,vel_leg_r1_joint,torque_leg_r1_joint,cmd_leg_r2_joint,pos_leg_r2_joint,vel_leg_r2_joint,torque_leg_r2_joint,cmd_leg_r3_joint,pos_leg_r3_joint,vel_leg_r3_joint,torque_leg_r3_joint,cmd_leg_r4_joint,pos_leg_r4_joint,vel_leg_r4_joint,torque_leg_r4_joint,cmd_leg_r5_joint,pos_leg_r5_joint,vel_leg_r5_joint,torque_leg_r5_joint,cmd_leg_r6_joint,pos_leg_r6_joint,vel_leg_r6_joint,torque_leg_r6_joint
0.000000000,0.000000000,-0.003623962,0.013187408,0.991217041,0.000000000,-0.007057190,0.057142258,0.821969604,-0.006823000,-0.006294250,0.065933228,0.224176025,0.424885005,0.316815376,0.320878983,3.736267090,-0.396259993,-0.369077644,-0.369072868,-1.785176479,0.000000000,-0.001753412,-0.071174593,-0.043818085,0.000000000,0.006675720,0.030769348,-0.550662231,0.000000000,0.002098083,-0.013187408,-0.971438599,0.065402001,0.053215981,0.101099014,3.063729858,0.276596010,0.184062004,0.153846741,3.150177002,-0.291951001,-0.264206560,-0.263647605,-1.884373372,0.000000000,-0.000004600,0.166872150,0.088792201
0.001999820,-0.000031000,-0.003623962,0.004396439,0.991217041,0.000016000,-0.007057190,0.074726105,0.224176025,-0.006821000,-0.006294250,0.021978378,-0.971438599,0.424870014,0.317196846,0.276922226,3.443237305,-0.396315992,-0.369840339,-0.364683569,-1.586918184,0.000000000,-0.001753756,-0.061048445,0.128176296,-0.000017000,0.006675720,-0.021978378,-0.330416107,-0.000004000,0.002098083,0.004396439,-0.373617554,0.065428004,0.053215981,0.039560318,3.810992432,0.276553988,0.184443474,0.162637711,3.589752197,-0.291940987,-0.264587903,-0.268041621,-1.586844180,0.000004000,-0.000004570,0.176708363,0.044390958
0.003999639,-0.000061000,-0.003623962,0.021978378,-0.110138702,0.000031000,-0.007057190,0.004396439,0.523086548,-0.006816000,-0.006294250,0.013187408,-0.523086548,0.424854010,0.317959785,0.285715103,3.882781982,-0.396375000,-0.370603034,-0.386668763,-1.586965662,0.000000000,-0.001754101,-0.030643185,0.214070215,-0.000034000,0.006675720,-0.021978378,-0.330416107,-0.000010000,0.002098083,-0.057142258,-0.971438599,0.065458000,0.053215981,0.021978378,3.362640381,0.276510000,0.184824944,0.171428680,3.882781982,-0.291929990,-0.265159866,-0.285602519,-1.586849806,0.000007000,0.000421465,0.157139100,-0.044210823
0.005999459,-0.000091000,-0.003242493,0.057142258,0.770939636,0.000045000,-0.006675720,-0.013187408,-0.074734497,-0.006810000,-0.006294250,-0.057142258,-0.373617554,0.424836993,0.318341255,0.250549316,4.175811768,-0.396436006,-0.371365730,-0.391076997,-1.388612621,0.000000000,-0.001754446,-0.000215832,0.214111192,-0.000051000,0.006675720,0.004396439,-0.330416107,-0.000016000,0.002098083,-0.004396439,-0.672528076,0.065490000,0.053215981,0.030769348,3.362640381,0.276464999,0.185206413,0.153846741,3.736267090,-0.291918993,-0.265731783,-0.285588728,-1.686043375,0.000010000,0.000847649,0.137560852,-0.088384253
0.007999279,-0.000120000,-0.003623962,0.021978378,0.550662231,0.000057000,-0.006675720,0.030769348,0.074734497,-0.006802000,-0.006294250,-0.004396439,-0.523086548,0.424820006,0.319104195,0.320878983,3.736267090,-0.396499991,-0.372318888,-0.404264849,-1.388701958,0.000000000,-0.002195218,0.009869484,0.299761367,-0.000069000,0.006675720,0.039560318,-0.991217041,-0.000024000,0.002098083,0.004396439,-1.120880127,0.065523997,0.053215981,-0.074726105,2.914288330,0.276419014,0.185206413,0.189010620,4.029296875,-0.291909009,-0.266303654,-0.298759925,-1.487736487,0.000013000,0.001273983,0.127807185,-0.176984857
0.009999099,-0.000148000,-0.003242493,0.030769348,0.550662231,0.000069000,-0.006675720,0.048351288,-0.523086548,-0.006792000,-0.006294250,-0.004396439,-0.672528076,0.424802989,0.319485664,0.338460922,3.296691895,-0.396566004,-0.373081584,-0.421853709,-1.388702076,0.000000000,-0.002195670,0.030164319,0.299688769,-0.000088000,0.006675720,0.030769348,-0.330416107,-0.000033000,0.001716614,-0.048351288,-0.224176025,0.065560997,0.053215981,0.004396439,3.512081909,0.276371002,0.185587883,0.189010620,3.443237305,-0.291898012,-0.267066343,-0.298771766,-1.289349396,0.000015000,0.001274339,0.088537154,-0.088293697
0.011998918,-0.000176000,-0.003242493,0.039560318,0.770939636,0.000079000,-0.006675720,-0.039560318,-0.074734497,-0.006781000,-0.006294250,-0.048351288,-1.419790649,0.424784988,0.320248604,0.391208649,4.322357178,-0.396634012,-0.373844281,-0.421889429,-1.388783709,0.000000000,-0.002196122,0.091093614,0.385462975,-0.000106000,0.006675720,0.021978378,-0.330416107,-0.000043000,0.002098083,0.057142258,-0.074734497,0.065600999,0.053215981,0.065933228,3.661550903,0.276322007,0.186350822,0.189010620,3.443237305,-0.291887999,-0.267447687,-0.316361600,-1.388508605,0.000017000,0.001274516,0.049250025,-0.043898791
0.013998738,-0.000202000,-0.003623962,-0.021978378,0.110138702,0.000089000,-0.006675720,0.048351288,-0.971438599,-0.006769000,-0.006294250,0.021978378,0.224176025,0.424766988,0.321393013,0.461538315,3.443237305,-0.396703988,-0.374797863,-0.417480041,-1.388777582,0.000000000,-0.001756003,0.081024954,0.471322431,-0.000125000,0.006675720,0.013187408,-0.110138702,-0.000055000,0.002098083,0.004396439,-1.569232178,0.065641999,0.053215981,0.030769348,4.109902954,0.276271999,0.186350822,0.180219650,3.150177002,-0.291877002,-0.268210375,-0.311970786,-1.586861347,0.000018000,0.001274872,0.039431965,-0.043823433
0.015998558,-0.000228000,-0.003242493,-0.004396439,0.110138702,0.000097000,-0.006675720,0.039560318,-0.074734497,-0.006755000,-0.006294250,-0.057142258,-0.672528076,0.424748003,0.322155952,0.426374435,3.736267090,-0.396777004,-0.375560560,-0.408692041,-1.487883077,0.000000000,-0.001756351,0.081049243,0.342475422,-0.000145000,0.006675720,0.004396439,-0.991217041,-0.000067000,0.002098083,-0.004396439,-0.523086548,0.065686002,0.053597450,0.092308044,3.362640381,0.276219994,0.187113762,0.189010620,3.003662109,-0.291866988,-0.268973063,-0.320784517,-1.388508579,0.000019000,0.001275227,-0.039196008,-0.043877679
0.017998378,-0.000252000,-0.003242493,0.021978378,0.550662231,0.000104000,-0.006675720,-0.004396439,-0.074734497,-0.006740000,-0.006294250,0.048351288,-0.523086548,0.424728990,0.322918892,0.338460922,3.589752197,-0.396851003,-0.376323257,-0.373519968,-1.686236384,0.000000000,-0.001756699,0.040439549,0.342299355,-0.000164000,0.006675720,0.004396439,-0.770939636,-0.000080000,0.002098083,0.004396439,0.523086548,0.065732002,0.053597450,0.057142258,3.512081909,0.276167989,0.187495232,0.206592560,3.296691895,-0.291855991,-0.269354407,-0.338367967,-1.190190170,0.000020000,0.001275404,-0.058858268,-0.132590171
