time,l_leg_hip_yaw_joint,l_leg_hip_roll_joint,l_leg_hip_pitch_joint,l_leg_knee_joint,l_leg_ankle_pitch_joint,l_leg_ankle_roll_joint,r_leg_hip_yaw_joint,r_leg_hip_roll_joint,r_leg_hip_pitch_joint,r_leg_knee_joint,r_leg_ankle_pitch_joint,r_leg_ankle_roll_joint
0.495,0.1485,0,0,0,0,0,0,0,0,0,0,0
0.5,0.15,0,0,0,0,0,0,0,0,0,0,0
0.505,0.1515,0,0,0,0,0,0,0,0,0,0,0
0.51,0.153,0,0,0,0,0,0,0,0,0,0,0
0.515,0.1545,0,0,0,0,0,0,0,0,0,0,0
0.52,0.156,0,0,0,0,0,0,0,0,0,0,0
0.525,0.1575,0,0,0,0,0,0,0,0,0,0,0
0.53,0.159,0,0,0,0,0,0,0,0,0,0,0
0.535,0.1605,0,0,0,0,0,0,0,0,0,0,0
0.54,0.162,0,0,0,0,0,0,0,0,0,0,0
0.545,0.1635,0,0,0,0,0,0,0,0,0,0,0
0.55,0.165,0,0,0,0,0,0,0,0,0,0,0
0.555,0.1665,0,0,0,0,0,0,0,0,0,0,0
0.56,0.168,0,0,0,0,0,0,0,0,0,0,0
0.565,0.1695,0,0,0,0,0,0,0,0,0,0,0
0.57,0.171,0,0,0,0,0,0,0,0,0,0,0
0.575,0.1725,0,0,0,0,0,0,0,0,0,0,0
0.58,0.174,0,0,0,0,0,0,0,0,0,0,0
0.585,0.1755,0,0,0,0,0,0,0,0,0,0,0
0.59,0.177,0,0,0,0,0,0,0,0,0,0,0
0.595,0.1785,0,0,0,0,0,0,0,0,0,0,0
0.6,0.18,0,0,0,0,0,0,0,0,0,0,0
0.605,0.1815,0,0,0,0,0,0,0,0,0,0,0
0.61,0.183,0,0,0,0,0,0,0,0,0,0,0
0.615,0.1845,0,0,0,0,0,0,0,0,0,0,0
0.62,0.186,0,0,0,0,0,0,0,0,0,0,0
0.625,0.1875,0,0,0,0,0,0,0,0,0,0,0
0.63,0.189,0,0,0,0,0,0,0,0,0,0,0
0.635,0.1905,0,0,0,0,0,0,0,0,0,0,0
0.64,0.192,0,0,0,0,0,0,0,0,0,0,0
