link,m_cad,m_rec,m_phys,cx_cad,cx_rec,cx_phys,cy_cad,cy_rec,cy_phys,cz_cad,cz_rec,cz_phys,min_eig_I_cad,min_eig_I_rec,min_eig_I_phys,cond_I_cad,cond_I_rec,cond_I_phys
1,2.5971709399,2.5971709399,2.59717094004188,-0.0986222474,-0.0986222474,-0.0986222473415192,2.44111e-05,2.44111e-05,2.4411069682789e-05,-0.1045982773,-0.1045982773,-0.10459827725588,0.0118687153100641,-0.177849829577778,0.00473251518988081,5.40752132667247,4.29018023794898,12.3883214297787
2,2.389815428,2.38547443445875,3.34179175811073,0.1380065284,0.163444671924003,0.12861667088976,-0.0500515716,-0.097989982175488,-0.0402208405312714,-8.69833e-05,-1.33774127588274,-0.0200869833,0.00474708150747577,-0.822182045131735,9.9999999999999e-05,12.0150048885802,39.5750890795945,1391.52496332783
3,6.3338610229,6.34774138614271,6.13014247047745,0.0110639009,0.0638217377709614,0.0277444140149799,0.1109513549,0.0858920313396029,0.1309513549,-0.0974252472,-0.0981828934777638,-0.0843500747946246,0.0467432007148451,-0.189446405448055,0.0904210449432113,5.82003478980728,3.63781057406746,4.11167253192904
4,3.3685023755,3.35703623181205,3.57895500354328,0.0075851302,-0.0899514398980858,-0.0124148698,-0.000544735,-0.0346656966795192,0.019455265,-0.1436454885,-0.132550339808145,-0.1236454885,0.00382273691529253,-0.208618161171302,0.0020717568421833,30.4743002498328,1.29249120538452,78.7805464838203
5,0.0920092994,0.0867156293426437,0.114976881122339,-0.0012022672,0.682217571782823,0.0187977328,-0.0012190306,-0.716358752752133,0.0187809694,-9.5312e-06,1.81414872347301,0.0199904688,0.00999986450716139,-0.277817648016319,0.000100000000000003,1.00005405064968,3.28796824196771,255.549001032826
6,1.1454787289,1.14018505884265,1.1925457418735,0.0578216763,0.110072523005082,0.0778216763,-5.1283e-05,0.0105922509546977,0.0165014105347244,-0.035163791,-0.158254476998822,-0.015163791,0.0104906174372402,-0.0312673421867704,0.000100000000000002,1.4533097116549,3.06547976293477,342.799454618086
